# ZZ, ZT, RHO, THBAR, PBAR, PIBAR, QVBAR, Q1LS, Q2LS, RHOZ
2.600000000000000000e+03 2.500000000000000000e+03 9.040000000000000258e-01 3.122259999999999991e+02 7.491807000000000698e+04 9.210000000000000409e-01 6.749999999999999924e-03 -4.770000000000000070e-05 2.289999999999999992e-08 8.950000000000000178e-01
2.800000000000000000e+03 2.700000000000000000e+03 8.860000000000000098e-01 3.131870000000000118e+02 7.316226600000000326e+04 9.150000000000000355e-01 6.329999999999999689e-03 -4.880000000000000033e-05 2.220000000000000027e-08 8.780000000000000027e-01
3.000000000000000000e+03 2.900000000000000000e+03 8.689999999999999947e-01 3.141560000000000059e+02 7.144089100000000326e+04 9.080000000000000293e-01 5.910000000000000323e-03 -4.989999999999999997e-05 2.150000000000000062e-08 8.599999999999999867e-01
3.200000000000000000e+03 3.100000000000000000e+03 8.519999999999999796e-01 3.151120000000000232e+02 6.975335899999999674e+04 9.020000000000000240e-01 5.510000000000000141e-03 -5.089999999999999717e-05 2.070000000000000007e-08 8.439999999999999725e-01
3.400000000000000000e+03 3.300000000000000000e+03 8.349999999999999645e-01 3.159580000000000268e+02 6.809882799999999406e+04 8.960000000000000187e-01 5.190000000000000169e-03 -5.160000000000000063e-05 2.000000000000000042e-08 8.269999999999999574e-01
3.600000000000000000e+03 3.500000000000000000e+03 8.189999999999999503e-01 3.168109999999999786e+02 6.647653100000000268e+04 8.900000000000000133e-01 4.870000000000000197e-03 -5.239999999999999975e-05 1.919999999999999987e-08 8.110000000000000542e-01
3.800000000000000000e+03 3.700000000000000000e+03 8.030000000000000471e-01 3.176659999999999968e+02 6.488598799999999756e+04 8.840000000000000080e-01 4.550000000000000225e-03 -5.319999999999999886e-05 1.839999999999999933e-08 7.950000000000000400e-01
4.000000000000000000e+03 3.900000000000000000e+03 7.870000000000000329e-01 3.184900000000000091e+02 6.332661699999999837e+04 8.780000000000000027e-01 4.270000000000000358e-03 -5.390000000000000233e-05 1.769999999999999968e-08 7.790000000000000258e-01
4.200000000000000000e+03 4.100000000000000000e+03 7.720000000000000195e-01 3.193199999999999932e+02 6.179787500000000000e+04 8.719999999999999973e-01 3.980000000000000031e-03 -5.429999999999999850e-05 1.700000000000000002e-08 7.640000000000000124e-01
4.400000000000000000e+03 4.300000000000000000e+03 7.570000000000000062e-01 3.201560000000000059e+02 6.029929299999999785e+04 8.649999999999999911e-01 3.690000000000000138e-03 -5.459999999999999901e-05 1.630000000000000037e-08 7.489999999999999991e-01
4.600000000000000000e+03 4.500000000000000000e+03 7.409999999999999920e-01 3.211200000000000045e+02 5.883070700000000215e+04 8.589999999999999858e-01 3.449999999999999942e-03 -5.489999999999999953e-05 1.570000000000000162e-08 7.339999999999999858e-01
4.800000000000000000e+03 4.700000000000000000e+03 7.259999999999999787e-01 3.221220000000000141e+02 5.739201200000000244e+04 8.529999999999999805e-01 3.210000000000000180e-03 -5.520000000000000004e-05 1.499999999999999866e-08 7.179999999999999716e-01
5.000000000000000000e+03 4.900000000000000000e+03 7.109999999999999654e-01 3.231320000000000050e+02 5.598279299999999785e+04 8.469999999999999751e-01 2.969999999999999984e-03 -5.539999999999999813e-05 1.439999999999999990e-08 7.039999999999999591e-01
5.200000000000000000e+03 5.100000000000000000e+03 6.959999999999999520e-01 3.241460000000000150e+02 5.460256199999999808e+04 8.409999999999999698e-01 2.749999999999999840e-03 -5.500000000000000196e-05 1.379999999999999949e-08 6.889999999999999458e-01
